año;mes;ciudad;temp_c;viento_vel_kmh
2015;1;Barcelona;9.1;17.7
2015;1;Bilbao;9.1;8.7
2015;1;La Coruña;9.6;10.8
2015;1;Madrid;4.4;9.0
2015;1;Malaga;11.4;13.6
2015;1;Sevilla;9.6;8.9
2015;1;Valencia;10.1;11.3
2015;1;Zaragoza;6.0;18.8
2015;2;Barcelona;9.0;15.4
2015;2;Bilbao;8.0;11.5
2015;2;La Coruña;9.3;12.9
2015;2;Madrid;6.4;13.3
2015;2;Malaga;12.0;16.8
2015;2;Sevilla;11.0;10.5
2015;2;Valencia;10.9;15.6
2015;2;Zaragoza;6.2;22.8
2015;3;Barcelona;12.5;16.7
2015;3;Bilbao;10.9;8.7
2015;3;La Coruña;11.2;11.0
2015;3;Madrid;10.3;10.4
2015;3;Malaga;14.8;13.9
2015;3;Sevilla;14.8;7.8
2015;3;Valencia;13.8;11.6
2015;3;Zaragoza;11.0;19.8
2015;4;Barcelona;15.0;12.8
2015;4;Bilbao;15.8;9.9
2015;4;La Coruña;14.4;9.0
2015;4;Madrid;14.2;10.3
2015;4;Malaga;17.1;11.3
2015;4;Sevilla;18.1;8.4
2015;4;Valencia;16.0;9.9
2015;4;Zaragoza;14.5;15.4
2015;5;Barcelona;18.8;15.1
2015;5;Bilbao;16.9;10.6
2015;5;La Coruña;15.9;14.5
2015;5;Madrid;19.8;11.8
2015;5;Malaga;20.6;10.8
2015;5;Sevilla;23.5;8.7
2015;5;Valencia;21.3;10.1
2015;5;Zaragoza;19.1;21.4
2015;6;Barcelona;23.2;13.3
2015;6;Bilbao;20.1;7.8
2015;6;La Coruña;18.5;10.4
2015;6;Madrid;24.3;10.0
2015;6;Malaga;23.1;10.5
2015;6;Sevilla;25.9;10.8
2015;6;Valencia;24.0;9.3
2015;6;Zaragoza;23.1;16.2
2015;7;Barcelona;26.8;13.8
2015;7;Bilbao;21.9;7.9
2015;7;La Coruña;20.0;10.9
2015;7;Madrid;29.9;10.8
2015;7;Malaga;28.0;10.9
2015;7;Sevilla;29.6;9.3
2015;7;Valencia;27.9;9.7
2015;7;Zaragoza;26.5;19.3
2015;8;Barcelona;25.1;13.1
2015;8;Bilbao;21.7;8.7
2015;8;La Coruña;19.1;10.6
2015;8;Madrid;25.9;11.7
2015;8;Malaga;28.9;11.8
2015;8;Sevilla;27.4;9.6
2015;8;Valencia;26.8;10.7
2015;8;Zaragoza;24.4;15.6
2015;9;Barcelona;21.4;13.3
2015;9;Bilbao;17.8;7.0
2015;9;La Coruña;16.8;8.8
2015;9;Madrid;20.4;10.4
2015;9;Malaga;25.2;11.1
2015;9;Sevilla;22.9;9.9
2015;9;Valencia;22.5;10.1
2015;9;Zaragoza;19.5;15.4
2015;10;Barcelona;17.8;12.2
2015;10;Bilbao;16.7;8.2
2015;10;La Coruña;15.7;10.0
2015;10;Madrid;15.5;9.1
2015;10;Malaga;21.6;8.5
2015;10;Sevilla;19.7;7.4
2015;10;Valencia;18.9;8.1
2015;10;Zaragoza;15.8;14.6
2015;11;Barcelona;14.0;15.5
2015;11;Bilbao;14.2;8.7
2015;11;La Coruña;14.3;9.6
2015;11;Madrid;11.0;7.6
2015;11;Malaga;16.1;11.7
2015;11;Sevilla;15.2;8.2
2015;11;Valencia;14.6;8.2
2015;11;Zaragoza;11.4;13.3
2015;12;Barcelona;11.7;13.0
2015;12;Bilbao;14.2;10.1
2015;12;La Coruña;12.9;15.7
2015;12;Madrid;7.4;5.4
2015;12;Malaga;13.6;8.7
2015;12;Sevilla;13.2;6.4
2015;12;Valencia;11.9;5.0
2015;12;Zaragoza;6.9;5.9
2016;1;Barcelona;11.9;15.7
2016;1;Bilbao;11.8;10.6
2016;1;La Coruña;11.2;14.9
2016;1;Madrid;8.0;12.1
2016;1;Malaga;13.4;11.6
2016;1;Sevilla;12.6;9.1
2016;1;Valencia;12.9;14.4
2016;1;Zaragoza;8.7;13.2
2016;2;Barcelona;11.8;16.0
2016;2;Bilbao;10.3;12.0
2016;2;La Coruña;10.1;13.7
2016;2;Madrid;7.7;16.6
2016;2;Malaga;13.6;13.6
2016;2;Sevilla;12.7;12.9
2016;2;Valencia;13.0;17.3
2016;2;Zaragoza;8.8;20.3
2016;3;Barcelona;11.9;14.8
2016;3;Bilbao;10.4;11.0
2016;3;La Coruña;10.2;12.8
2016;3;Madrid;8.9;12.8
2016;3;Malaga;14.5;15.4
2016;3;Sevilla;13.0;8.4
2016;3;Valencia;13.5;12.7
2016;3;Zaragoza;9.5;21.1
2016;4;Barcelona;14.4;15.4
2016;4;Bilbao;13.0;10.2
2016;4;La Coruña;11.4;11.4
2016;4;Madrid;11.8;11.6
2016;4;Malaga;17.1;11.1
2016;4;Sevilla;16.5;9.6
2016;4;Valencia;16.4;11.7
2016;4;Zaragoza;13.4;19.2
2016;5;Barcelona;17.0;15.1
2016;5;Bilbao;16.5;11.0
2016;5;La Coruña;14.5;9.4
2016;5;Madrid;15.8;10.5
2016;5;Malaga;19.3;11.6
2016;5;Sevilla;19.4;11.4
2016;5;Valencia;18.9;11.6
2016;5;Zaragoza;17.3;19.9
2016;6;Barcelona;21.7;14.1
2016;6;Bilbao;18.9;8.3
2016;6;La Coruña;17.4;9.5
2016;6;Madrid;23.7;11.0
2016;6;Malaga;23.5;12.6
2016;6;Sevilla;25.6;10.8
2016;6;Valencia;23.4;10.6
2016;6;Zaragoza;22.6;18.7
2016;7;Barcelona;24.7;13.9
2016;7;Bilbao;21.1;7.1
2016;7;La Coruña;20.0;9.6
2016;7;Madrid;28.1;10.0
2016;7;Malaga;25.9;10.9
2016;7;Sevilla;28.9;9.8
2016;7;Valencia;26.3;9.9
2016;7;Zaragoza;25.3;20.6
2016;8;Barcelona;24.9;13.0
2016;8;Bilbao;21.7;7.3
2016;8;La Coruña;19.6;7.7
2016;8;Madrid;27.3;8.8
2016;8;Malaga;26.4;11.3
2016;8;Sevilla;28.8;10.1
2016;8;Valencia;26.0;9.9
2016;8;Zaragoza;25.2;19.3
2016;9;Barcelona;23.0;13.7
2016;9;Bilbao;20.1;7.2
2016;9;La Coruña;17.5;6.6
2016;9;Madrid;22.7;8.2
2016;9;Malaga;23.5;10.2
2016;9;Sevilla;25.3;8.6
2016;9;Valencia;24.0;9.8
2016;9;Zaragoza;22.6;15.6
2016;10;Barcelona;18.4;5.0
2016;10;Bilbao;16.0;6.1
2016;10;La Coruña;14.8;5.8
2016;10;Madrid;16.3;6.6
2016;10;Malaga;20.1;8.8
2016;10;Sevilla;20.6;8.3
2016;10;Valencia;20.2;7.1
2016;10;Zaragoza;16.3;11.9
2016;11;Barcelona;13.7;15.4
2016;11;Bilbao;11.6;7.9
2016;11;La Coruña;10.9;7.7
2016;11;Madrid;8.9;7.8
2016;11;Malaga;15.0;8.5
2016;11;Sevilla;13.9;8.6
2016;11;Valencia;13.9;9.9
2016;11;Zaragoza;10.0;13.4
2016;12;Barcelona;10.5;18.0
2016;12;Bilbao;11.0;6.2
2016;12;La Coruña;10.6;7.2
2016;12;Madrid;6.6;6.1
2016;12;Malaga;13.3;10.7
2016;12;Sevilla;12.2;8.9
2016;12;Valencia;11.4;8.2
2016;12;Zaragoza;6.2;8.4
